lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
reborn,,<h3>Gochima</h3> 1] deebi'anii dhalachuu,,,,,,,,
rebound,,<h3>Gochima</h3> 1] rukutee deebi'uu (kubbaadhaaf),,,,,,,,
rebuff,,<h3>Gochima</h3> 1] qaanessuu,,,,,,,,
rebuild,,"<h3>Gochima</h3> 1] deebisanii ijaaruu 2] deebisanii uumuu, haaromsu",,,,,,,,
rebuke,,"<h3>Gochima</h3> 1] rifaasisuu, ifachuu, ifaatuu",,,,,,,,
rebuking,,"<h3>Cibra</h3> 1] ifannaa, ifaatii",,,,,,,,
rebut,,<h3>Gochima</h3> 1] ragaan yookiin himannaan dhihaatee fi kkf kijiba ta'uu isaanii mirkaneessuu,,,,,,,,
recalcitrant,,"<h3>Maqibsa</h3> 1] mata-jabeessa, mata-jabeettii, micicaa, miciccuu, rincicaa, rinciccuu",,,,,,,,
Recalculate (ICT),,"<h3>Gochima</h3> 1] Lamuu Herreegi, (ICT, Jecha Kompiitaraa)",,,,,,,,
recall,,<h3>Gochima</h3> 1] yaadachuu,,,,,,,,
Recall (ICT),,"<h3>Cibra</h3> 1] Dhaamdii, Dhaamdii, (ICT, Jecha Kompiitaraa)",,,,,,,,
recant,,"<h3>Gochima</h3> 1] waanti duraan jechaa turan yookiin itti amanan soba ta'uu isaa amananii dhiisuu, lagachuu",,,,,,,,
recapitulate,,<h3>Gochima</h3> 1] qabxii muummee kan marii tokkoo goolabanii dhiheessuu,,,,,,,,
recapitulation,,"<h3>Cibra</h3> 1] goolabbii, xumura",,,,,,,,
recapture,,<h3>Gochima</h3> 1] deebisanii qabuu/qabachuu 2] waan ijoollummaatti yookiin yeroo darbe keessa argan tokko yaadachuuf yaaluu,,,,,,,,
recast,,<h3>Gochima</h3> 1] irra deebi'anii barreessuu 2] taatota jijjiiruu (kan diraamaa),,,,,,,,
recce,,<h3>Cibra</h3> 1] basaasa,,,,,,,,
recede,,"<h3>Gochima</h3> 1] duubatti deebi'uu, dheessuu",,,,,,,,
receipt,,<h3>Cibra</h3> 1] naga'ee,,,,,,,,
receive,,<h3>Gochima</h3> 1] fudhachuu,,,,,,,,
Receive (ICT),,"<h3>Gochima</h3> 1] Fudhachuu, Fuudhi, Fudhu, (ICT, Jecha Kompiitaraa)",,,,,,,,
receiver,,"<h3>Cibra</h3> 1] fudhataa, fudhattuu, dhagawoo",,,,,,,,
receiving teller,,"<h3>Cibra</h3> 1] fuutuu maallaqaa, funaantuu",,,,,,,,
recent,,<h3>Maqibsa</h3> 1] kan yeroo dhihoo,,,,,,,,
recently,,<h3>Xumibsa</h3> 1] dhihootti,,,,,,,,
receptacle,,<h3>Cibra</h3> 1] baattuu waa keessa kaa'an,,,,,,,,
reception,,"<h3>Cibra</h3> 1] fudhannaa, simannaa 2] boqota keessummaa (hoteela, hospitaalaa fi bakkeewwan fafakkaatanitti) 3] afeerraa",,,,,,,,
receptionist,,"<h3>Cibra</h3> 1] keessummeessituu (kan hoteelaa, hospitaalaa fi kkf)",,,,,,,,
receptive,,<h3>Maqibsa</h3> 1] yaada haaraa fudhachuuf qophaa'aa kan ta'e,,,,,,,,
receptor,,"<h3>Maqibsa</h3> 1] siribduu, keessummeessituu",,,,,,,,
recess,,"<h3>Cibra</h3> 1] tibba hojiin paarlaanmaa, mana murtii fi dhaabbattoota kkf itti dhaabatu 2] yeroo boqonnaa kan mana barnootaa 3] bakka dhooqaa 4] bakka moggaa yookiin iccitii",,,,,,,,
recession,,<h3>Cibra</h3> 1] tibba kufaatii dinagdee kan biyyaa,,,,,,,,
recessive,,<h3>Maqibsa</h3> 1] amala maatii irraa dhaalame garuu utuu ifatti hin mul'atiin ijoollee keessa dhokatee kan taa'u,,,,,,,,
recharge,,<h3>Gochima</h3> 1] baatirii humna ellektiriikiitiin guutuu,,,,,,,,
recherche,,"<h3>Maqibsa</h3> 1] waan hin baramne, hubachuuf rakkisaa kan ta'e",,,,,,,,
recidivist,,<h3>Cibra</h3> 1] nama irra deddeebi'ee amala yakka hojechuu qabu (adabamee illee kan hin dhiisne),,,,,,,,
recipe,,<h3>Cibra</h3> 1] mala/akkaataa nyaata itti qopheessan,,,,,,,,
recipient,,<h3>Cibra</h3> 1] fudhataa,,,,,,,,
Recipient (ICT),,"<h3>Maqibsa</h3> 1] Fudhataa, Fudhataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
reciprocal,,<h3>Cibra</h3> 1] fuggisee,,,,,,,,
reciprocate,,"<h3>Gochima</h3> 1] waan tokko kennanii bakka isaatti immoo waan biraa fudhachuu, wal jijjiiruu",,,,,,,,
reciprocity,,<h3>Cibra</h3> 1] kennanii fudhachuu (waan tokkoon nama gargaaranii gama kan biraatiin immoo faayidaa wayii argachuu),,,,,,,,
recital,,<h3>Cibra</h3> 1] qophii muuziiqaa yookiin walaloo uummataaf dhihaatu (nama tokko yookiin hedduudhaan),,,,,,,,
recitation,,"<h3>Cibra</h3> 1] walaloo, diraamaa fi kkf yaadaan dubbachuu/jechuu",,,,,,,,
recite,,<h3>Gochima</h3> 1] walaloo yaadaan dubbisuu 2] tarreeffama waan tokkoo kennuu,,,,,,,,
reckless,,"<h3>Maqibsa</h3> 1] of eeggannoo nama hin goone, dhilbee",,,,,,,,
reckon,,"<h3>Gochima</h3> 1] yaaduu, fudhachuu, beekuu 2] ni ta'a jedhanii eeguu, yaaduu 3] herreguu",,,,,,,,
reckoning,,<h3>Cibra</h3> 1] tilmaama,,,,,,,,
reclaim,,<h3>Gochima</h3> 1] waan bade yookiin waan kennan tokko deebisanii argachuuf gaaffii dhiheessuu 2] lafa qonnaadhaaf tottolchuu 3] oomishaa balfaa deebisanii hojii irra oolchuu,,,,,,,,
recline,,<h3>Gochima</h3> 1] taa'anii wayitti hirkachuu yookiin ciisuu,,,,,,,,
recluse,,"<h3>Cibra</h3> 1] xu'aashii, nama kophaa jiraatu, gariiba",,,,,,,,
recognition,,<h3>Cibra</h3> 1] beekamtummaa argachuu 2] hubannoo,,,,,,,,
recognize,,"<h3>Gochima</h3> 1] hubachuu, qalbifachuu, yaadaan qabuu",,,,,,,,
recoil,,"<h3>Gochima</h3> 1] dafanii waan tokko irraa dheessuu (sodaa, naasuu fi kkf irraan kan ka'e)",,,,,,,,
recollect,,<h3>Gochima</h3> 1] waan yeroo darbe ta'e tokko yaadachuuf yaaluu,,,,,,,,
recollection,,<h3>Gochima</h3> 1] yaadachuu,,,,,,,,
Recolor (ICT),,"<h3>Gochima</h3> 1] Halluu Jijjiiri, (ICT, Jecha Kompiitaraa)",,,,,,,,
recommence,,<h3>Gochima</h3> 1] irra deebi'anii jalqabuu,,,,,,,,
recommend,,"<h3>Gochima</h3> 1] 1, waanti tokko gaarii ta'uu isaa namoota kan birootti himuu, yaada kennuu 2] gorsuu",,,,,,,,
recompense,,"<h3>Gochima</h3> 1] badhaasuu, beenyaa kennuu, kiisuu",,,,,,,,
reconcile,,"<h3>Gochima</h3> 1] araarsuu, magansuu, atoomsuu",,,,,,,,
reconciler,,"<h3>Cibra</h3> 1] araarsaa, jaarsa, atoomsaa",,,,,,,,
reconciliation,,"<h3>Cibra</h3> 1] araara, atooma",,,,,,,,
recondite,,<h3>Maqibsa</h3> 1] namoota baay'ee biratti kan hin beekamne,,,,,,,,
recondition,,<h3>Gochima</h3> 1] supnuu,,,,,,,,
reconnaissance,,<h3>Cibra</h3> 1] basaasaa,,,,,,,,
reconnoiter,,"<h3>Gochima</h3> 1] basaasuu, qaruuxuu, keettuu",,,,,,,,
reconsider,,<h3>Gochima</h3> 1] irra deebi'anii xiinxaluu,,,,,,,,
reconstitute,,<h3>Gochima</h3> 1] deebisanii gurmeessuu 2] nyaata gogaa gara haala dura tureetti deebisuu (bishaan itti dabaluudhaan),,,,,,,,
reconstruct,,<h3>Gochima</h3> 1] waan jige yookiin barbadaa'e deebisanii ijaaruu,,,,,,,,
record,,"<h3>Cibra</h3> 1] galmee <h3>Gochima</h3> 1] galmeessuu 2] waan ummata biratti yaadatamuu danda'u haasa'uu/dubbachuu 3] sagalee yookiin suuraa, teeppii fi kk fakkaatanitti waraabuu 4] qabxii takkaa namiyyuu hin arganne galmeessuu ispoortii irratti)",,,,,,,,
Record (ICT),,"<h3>Cibra</h3> 1] Galmee, Kuusaa, Riikoordii, Kuusaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
record keeper,,<h3>Cibra</h3> 1] qabduu galmee,,,,,,,,
record office,,<h3>Cibra</h3> 1] mana galmee,,,,,,,,
Record Pointer (ICT),,"<h3>Cibra</h3> 1] Akeektuu Galmee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Record Source (ICT),,"<h3>Cibra</h3> 1] Madda Kuusaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
recorder,,"<h3>Cibra</h3> 1] maashinii sagalee, muuziiqaa, suuraaf kkf waraabu 2] abbaa murtii, daanyaa (manneen murtii tokko tokkotti)",,,,,,,,
recording,,<h3>Cibra</h3> 1] suuraa yookiin sagalee waraabame,,,,,,,,
recount,,"<h3>Gochima</h3> 1] waa namatti himuu, odeessuu",,,,,,,,
recoup,,<h3>Gochima</h3> 1] horii kassaran deebisanii argachuu,,,,,,,,
recourse,,<h3>Cibra</h3> 1] madda gargaarsaa kan yeroo rakkinaa,,,,,,,,
recover,,"<h3>Gochima</h3> 1] dandamachuu, fayyuu",,,,,,,,
Recover (ICT),,"<h3>Gochima</h3> 1] Bayyanachiisi, Bayyanachiisi, (ICT, Jecha Kompiitaraa)",,,,,,,,
recoverable,,<h3>Maqibsa</h3> 1] argamuu yookiin bakka buusamuu kan danda'u (erga badee booda),,,,,,,,
recovery,,<h3>Cibra</h3> 1] fayyaa ofiitti deebi'uu 2] qaami baqaqsamee erga hodhamee booda kutaa dhukkubsattoota keessa cibsan (hospilaala keessatti),,,,,,,,
recreate,,"<h3>Gochima</h3> 1] gandhaaluu, bashannanuu, daaquu",,,,,,,,
recreation,,<h3>Cibra</h3> 1] bashannana,,,,,,,,
recrimination,,<h3>Cibra</h3> 1] nama nama himate deebisanii himachuu,,,,,,,,
recrudescence,,<h3>Cibra</h3> 1] waanti namatti hin tolle jibbisiisaa ta'e tokko deebi'ee dhufuu (mul'achuu),,,,,,,,
recruit,,"<h3>Gochima</h3> 1] ruuguu, filuu",,,,,,,,
recruiting,,"<h3>Gochima</h3> 1] filuu, fo'uu",,,,,,,,
recruitment,,<h3>Cibra</h3> 1] ruuga,,,,,,,,
rectal,,<h3>Maqibsa</h3> 1] kan munneelfutee,,,,,,,,
rectangle,,"<h3>Cibra</h3> 1] afroggee, rog-arfee",,,,,,,,
Rectangle (ICT),,"<h3>Cibra</h3> 1] Rektaangilii, Rektaangilii, (ICT, Jecha Kompiitaraa)",,,,,,,,
rectangular,,<h3>Maqibsa</h3> 1] rog-arfee kan fakkaatu,,,,,,,,
rectify,,<h3>Gochima</h3> 1] waan tokko sirreessuu,,,,,,,,
rectilinear,,<h3>Maqibsa</h3> 1] sarara sirrii yookiin sarara qajeelaadhaan,,,,,,,,
rectitude,,"<h3>Cibra</h3> 1] amanamtummaa, amalli fi ilaalchi isaa fudhatama kan qabu",,,,,,,,
recto,,<h3>Cibra</h3> 1] fuula kitaabaa kan harka mirgaa irraan jiru,,,,,,,,
rectum,,"<h3>Cibra</h3> 1] fudee, futee, munnee",,,,,,,,
recumbent,,<h3>Maqibsa</h3> 1] kan ciise (namaaf),,,,,,,,
recuperate,,"<h3>Gochima</h3> 1] dandamachuu, bayyanachuu",,,,,,,,
recuperation,,"<h3>Cibra</h3> 1] bayyanata, bayyaannannaa",,,,,,,,
recur,,"<h3>Gochima</h3> 1] deddeebi'ee mul'achuu, ta'uu",,,,,,,,
Recurring (ICT),,"<h3>Maqibsa</h3> 1] Deddeebi’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
recycle,,<h3>Gochima</h3> 1] meeshaalee ammaan dura tajaajila kennan warshaatti deebisuudhaan ammas tajaajila akka kennan gochu,,,,,,,,
Recycle Bin (ICT),,"<h3>Cibra</h3> 1] Baattoo Gatoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
red,,<h3>Maqibsa</h3> 1] diimaa,,,,,,,,
red cloth,,<h3>Cibra</h3> 1] jaawwii,,,,,,,,
Red Sea,,<h3>Cibra</h3> 1] Galaana Diimaa,,,,,,,,
red-handed,,<h3>Maqibsa</h3> 1] battalatti qabuu (kees. hattuu meeshaa hatame wajjin),,,,,,,,
redcoat,,<h3>Cibra</h3> 1] loltuu Ingilizii,,,,,,,,
redden,,"<h3>Gochima</h3> 1] diimachuu, dhiilga'uu",,,,,,,,
redecorate,,"<h3>Gochima</h3> 1] bareechuu, faayessuu (irra deebi'anii)",,,,,,,,
redeem,,"<h3>Gochima</h3> 1] fayyisuu, furuu (gatii baasanin) 2] horii liqeeffatan deebisuudhaan waan qabsiisan nama harkaa deeffachuu",,,,,,,,
redeploy,,<h3>Gochima</h3> 1] bakka haaraa yookiin hojii haaraa namaaf kennuu,,,,,,,,
Redial (ICT),,"<h3>Gochima</h3> 1] Lamuu Bilbili, (ICT, Jecha Kompiitaraa)",,,,,,,,
redirect,,<h3>Gochima</h3> 1] teessoo xalayaa jijjiiranii erguu 2] erguu (kallattii kan biraa irra),,,,,,,,
redish,,"<h3>Maqibsa</h3> 1] diimessa, gara diimaatti kan gaalchu",,,,,,,,
redistribute,,"<h3>Gochima</h3> 1] karaa adda ta'en hiruu, qooduu",,,,,,,,
Redlining (ICT),,"<h3>Cibra</h3> 1] Sarara Diimaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
redness,,"<h3>Cibra</h3> 1] dhiilga'ina, biluu, diimina, diimummaa",,,,,,,,
Redo (ICT),,"<h3>Gochima</h3> 1] Irra Deebi’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
redolent,,<h3>Maqibsa</h3> 1] urgaa gaarii kan qabu,,,,,,,,
redouble,,"<h3>Gochima</h3> 1] waan tokko jabeessuu, cimsuu, dabaluu",,,,,,,,
redoubt,,<h3>Cibra</h3> 1] daannoo xinnoo,,,,,,,,
redoubtable,,<h3>Maqibsa</h3> 1] sodaatamuu/kabajamuu kan qabu,,,,,,,,
redound,,<h3>Gochima</h3> 1] kabajaa/ulfina nama tokkoo dabaluu,,,,,,,,
redress,,"<h3>Gochima</h3> 1] kiisuu, gatii baasuu, beenyaa kennuu <h3>Cibra</h3> 1] beenyaa, kiisii",,,,,,,,
reduce,,"<h3>Gochima</h3> 1] xiqqeessuu, hir'isuu",,,,,,,,
Reduce (ICT),,"<h3>Gochima</h3> 1] Xinneessi, Xiqqeessuu, Xinneessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Reduce Icon (ICT),,"<h3>Gochima</h3> 1] Sajoo Xinneessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
reduction,,<h3>Gochima</h3> 1] hir'isuu,,,,,,,,
redundant,,<h3>Maqibsa</h3> 1] hojjetaa barbaachisuu ol kan qabu 2] kan hin barbaachisne,,,,,,,,
reed,,"<h3>Cibra</h3> 1] shomboqqoo, leemmana, gobeensa",,,,,,,,
reedbuck,,"<h3>Cibra</h3> 1] borofa, godaa",,,,,,,,
reedy,,<h3>Maqibsa</h3> 1] sagalee qalloo baay'ee iyyu,,,,,,,,
reef,,<h3>Cibra</h3> 1] qarsaa yookiin cirracha kan qarqara galaanaa <h3>Gochima</h3> 1] sharaa doonii dachaasanii hidhuu,,,,,,,,
reefer,,<h3>Cibra</h3> 1] sigaaraa maariiwaanaa qabu 2] jaakkeettii suufii,,,,,,,,
reek,,"<h3>Cibra</h3> 1] xiraa'aa, foolii ajaa'aa <h3>Gochima</h3> 1] ajaa'uu",,,,,,,,
reel,,"<h3>Cibra</h3> 1] meeshaa geengoo waanti akka sibiilaa, fiilmiin kaameeraa fi fo'aan irratti maramu 2] daalala warra Iskootilaandi yookiin Ayarlaandi <h3>Gochima</h3> 1] bitintintiruu, gatantaruu",,,,,,,,
refectory,,<h3>Cibra</h3> 1] mana nyaataa guddaa kan dhaabbata amantii yookiin barnootaa,,,,,,,,
refer,,"<h3>Gochima</h3> 1] eeruu, tuquu (haasaadhaaf) 2] waan tokko ilaaluu yookiin odeeffannoo nama gaafachuu",,,,,,,,
referee,,<h3>Cibra</h3> 1] xabi ispoorti seera eegee kan xabatamu ta'uu isaa nama to'atu 2] waa'ee amalaa fi dandeetti! nama tokkoo waan beeku ragaa barreeffamaa nama kennuu,,,,,,,,
reference,,<h3>Cibra</h3> 1] eeruu 2] kitaablee wabii 3] dabarsuu,,,,,,,,
Reference (ICT),,"<h3>Cibra</h3> 1] Wabii, Wabii, (ICT, Jecha Kompiitaraa)",,,,,,,,
referendum,,<h3>Cibra</h3> 1] riferandamii (dhimma murteessaa ta'e tokko irratti sagalee murtii uummataa naannoo/biyya tokkoo kennu),,,,,,,,
refill,,"<h3>Gochima</h3> 1] miiruu, dhimbiibuu (sukkaara, zayitii fi kkf)",,,,,,,,
refine,,<h3>Gochima</h3> 1] deebisanii guutuu,,,,,,,,
refined,,<h3>Cibra</h3> 1] baqfamaa,,,,,,,,
refinement,,<h3>Cibra</h3> 1] hojii dhimbiibuu/miiruu,,,,,,,,
refinery,,<h3>Cibra</h3> 1] warshaa dhimbiibduu yookiin miirtuu,,,,,,,,
refit,,"<h3>Gochima</h3> 1] suphuu, haaroomsuu",,,,,,,,
reflate,,<h3>Gochima</h3> 1] baay'ina maallaqaa biyya tokko keessa jiru dabaluu,,,,,,,,
reflect,,"<h3>Gochima</h3> 1] calaqqisuu, balaqqisuu",,,,,,,,
reflecting,,"<h3>Maqibsa</h3> 1] calaqqistuu, calaqqisaa",,,,,,,,
reflection,,"<h3>Cibra</h3> 1] balaqqee, calanqeettii",,,,,,,,
reflective,,<h3>Maqibsa</h3> 1] waan tokko gad fageessee kan yaadu 2] ifa kan calaqqisu,,,,,,,,
reflector,,<h3>Cibra</h3> 1] kan calaqqisu,,,,,,,,
reflex,,<h3>Cibra</h3> 1] sochi yookiin gochaa nami tokko to'achuu hin dandeenye,,,,,,,,
refloat,,<h3>Gochima</h3> 1] deebi'ee bishaan irra akka bololi'u gochuu (waanti gad dhidhime),,,,,,,,
reform,,"<h3>Gochima</h3> 1] fooyyessuu, wayyeessuu, fooyya'u",,,,,,,,
reformation,,<h3>Cibra</h3> 1] jijjiirama ol'aanaa 2] fooyya'insa,,,,,,,,
reformatory,,<h3>Cibra</h3> 1] wiirtuu yakkamtoonni umurii ijoollummaa keessa jiran itti ergaman (mana hidhaa kan hin taane),,,,,,,,
refract,,<h3>Gochima</h3> 1] carallaan ifaa kallattii isaa akka jijjiiru gochuu,,,,,,,,
refraction,,"<h3>Cibra</h3> 1] dabina, jallina, cabuu",,,,,,,,
refractor,,<h3>Maqibsa</h3> 1] to'achuuf kan nama rakkisu 2] amala malcessa,,,,,,,,
refractory,,"<h3>Maqibsa</h3> 1] micicaa, miciccuu, didaa 2] dhukkuba wal'aansaan hin fayyine",,,,,,,,
refrain,,<h3>Cibra</h3> 1] irra-deebii yookiin yaa'aa sirbaa fi walaloo <h3>Cibra</h3> 1] waan tokko gochuu yookiin hojjechu irraa of qusachuu,,,,,,,,
refresh,,"<h3>Gochima</h3> 1] haaromuu, jajjabaachuu, bashannanuu",,,,,,,,
Refresh (ICT),,"<h3>Gochima</h3> 1] Haaromsi, Haaromsi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Refresh Data (ICT),,"<h3>Gochima</h3> 1] Deetaa Haaromsi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Refresh Every (ICT),,"<h3>Gochima</h3> 1] Hunda Haaromsi, (ICT, Jecha Kompiitaraa)",,,,,,,,
refreshing,,"<h3>Maqibsa</h3> 1] kan nama jabeessu, si'aayina kan dabalu 2] kan nama gammachiisu",,,,,,,,
refreshment,,<h3>Cibra</h3> 1] nyaataa fi dhugaatii,,,,,,,,
refrigerate,,"<h3>Gochima</h3> 1] diilalleessuu, cabbeessuu (nyaataa fi kkf)",,,,,,,,
refrigerator,,"<h3>Cibra</h3> 1] cabbeessaa, dilalieessaa",,,,,,,,
refuel,,<h3>Gochima</h3> 1] deebisanıi boba'aa guutuu,,,,,,,,
refugee,,"<h3>Cibra</h3> 1] koolu-galaa, koolu-galtuu",,,,,,,,
refulgent,,"<h3>Maqibsa</h3> 1] baay'ee kan ifu, dammaqaa",,,,,,,,
refund,,<h3>Gochima</h3> 1] maallaqa kaffalame deebisanii kennuu (abbaa kaffaleef),,,,,,,,
refurbish,,<h3>Gochima</h3> 1] gamoo fooyyessanii bareechuuu,,,,,,,,
refusal,,"<h3>Cibra</h3> 1] diddaa, gunnuffii",,,,,,,,
refuse,,"<h3>Cibra</h3> 1] buquqaa, kosii <h3>Gochima</h3> 1] diduu, fudhachuu dhaabuu",,,,,,,,
refute,,<h3>Gochima</h3> 1] waanti tokko dogoggora ta'uu isaa mirkaneessuu 2] ganuu,,,,,,,,
regain,,<h3>Gochima</h3> 1] waan tokko deebisanii argachuu,,,,,,,,
regal,,"<h3>Maqibsa</h3> 1] mootii kan ta'u, kan mootii",,,,,,,,
regale,,<h3>Gochima</h3> 1] qoosaa fi wantoota fafakkaataniin nama gammachiisuu,,,,,,,,
regalia,,<h3>Cibra</h3> 1] uffata addaa sagantaa ayyaana guddaa irratti uffatamu,,,,,,,,
regard,,"<h3>Gochima</h3> 1] hubatanii ilaaluu <h3>Cibra</h3> 1] kabajaa, ulfina",,,,,,,,
regardless,,<h3>Xumibsa</h3> 1] utuu xiyyeeffannaa hin kennin,,,,,,,,
regatta,,<h3>Cibra</h3> 1] dorgommii ispoortii bidiruulee gidduutti adeemsifamu,,,,,,,,
regency,,<h3>Cibra</h3> 1] tibba biyyi bakka bu'aa mootiitiin itti bulfamtu,,,,,,,,
regenerate,,<h3>Gochima</h3> 1] waanti tokko akka jabaatu/cimu gochuu 2] waanti tokko deebi'ee akka guddatu gochuu,,,,,,,,
regent,,"<h3>Cibra</h3> 1] mootii bakka bu'ee nama biyya bulchu (yoo mootiin dhukkubsate, dulloome yookiin umuriin isaa hin geenye)",,,,,,,,
reggae,,"<h3>Cibra</h3> 1] gosa muuziiqaa Jaamaayikaa keessatti beekamaa ta'e, kan yeedaloo sirrii waliin hidhata qabu.",,,,,,,,
regicide,,<h3>Cibra</h3> 1] yakka mootii yookiin niitii mootii ajjeesuu,,,,,,,,
regime,,"<h3>Cibra</h3> 1] gosa mootumma (soshaalistii, faashistii, loltuu) 2] mala yookiin haala waan tokko itti hojjetan",,,,,,,,
regimen,,"<h3>Cibra</h3> 1] fayyaa namaa eeguuf jecha qajeelfama waa'ee nyaataa, ispoortii fi kkf ilaalchisee qopheeffame",,,,,,,,
regiment,,<h3>Cibra</h3> 1] gartuu loltootaa koloneelaan hoogganamu,,,,,,,,
region,,"<h3>Cibra</h3> 1] kutaa biyyaa, naannoo",,,,,,,,
Region Selection (ICT),,"<h3>Cibra</h3> 1] Filannoo Murta’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Regions (ICT),,"<h3>Cibra</h3> 1] Bakka Murtaa’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
register,,<h3>Cibra</h3> 1] galmee <h3>Gochima</h3> 1] galmeessuu,,,,,,,,
Register (ICT),,"<h3>Gochima/Cibra</h3> 1] Galmeessuu, Galmee, (ICT, Jecha Kompiitaraa)",,,,,,,,
registered letter,,<h3>Cibra</h3> 1] rekomaandee,,,,,,,,
Registered Trademark (ICT),,"<h3>Cibra</h3> 1] Mallattoo Galmaa’ina Daldalaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Registered User (ICT),,"<h3>Cibra</h3> 1] Fayyadamaa Galmaa’e, (ICT, Jecha Kompiitaraa)",,,,,,,,
registrar,,"<h3>Cibra</h3> 1] eegduu galmee (kan dhalootaa, fuudhaa, heerumaa fi du'aa) 2] ittigaafatamaa bulchiinsaa (kan yunivarsiitii) 3] doktarii leenjii ispeeshaalistummaa fudhachuutti jiru (kan hospitaalaa)",,,,,,,,
registration,,<h3>Cibra</h3> 1] galmeessa,,,,,,,,
Registration (ICT),,"<h3>Cibra</h3> 1] Galmee, (ICT, Jecha Kompiitaraa)",,,,,,,,
registry,,<h3>Cibra</h3> 1] mana galmee,,,,,,,,
Registry (ICT),,"<h3>Cibra</h3> 1] Galmee, (ICT, Jecha Kompiitaraa)",,,,,,,,
regress,,<h3>Gochima</h3> 1] bakka turan irratti deebi'uu,,,,,,,,
regret,,"<h3>Gochima</h3> 1] gaabbuu, sheena'uu <h3>Cibra</h3> 1] gaabbii",,,,,,,,
regrettable,,"<h3>Maqibsa</h3> 1] kan nama gaabbisiisu, gaddisiisu",,,,,,,,
regular,,<h3>Maqibsa</h3> 1] idilee,,,,,,,,
regularize,,<h3>Gochima</h3> 1] waan tokko sirreessuu yookiin seera qabachiisuu,,,,,,,,
regulate,,<h3>Gochima</h3> 1] waan tokko seeraan to'achuu 2] sirreessuu,,,,,,,,
regulation,,<h3>Cibra</h3> 1] danbii,,,,,,,,
regurgitate,,<h3>Gochima</h3> 1] alala-guuruu 2] wanta nami tokko jedhe irra deebi'anii dubbachuu,,,,,,,,
regurgitation,,<h3>Cibra</h3> 1] bulgaatii,,,,,,,,
rehabilitate,,"<h3>Gochima</h3> 1] deebisanii dhaabuu, hadhaadhiyyuu",,,,,,,,
rehabilitation,,<h3>Cibra</h3> 1] deebisanii dhaabuu,,,,,,,,
rehash,,<h3>Gochima</h3> 1] hagasmara utuu hin jijjiiriin yaada tokko akka haaraatti dhiheessuu,,,,,,,,
rehearse,,<h3>Gochima</h3> 1] shaakaluu (tiyaatiraa fi kkf),,,,,,,,
reheat,,<h3>Gochima</h3> 1] deebisanii o'isuu,,,,,,,,
rehouse,,<h3>Gochima</h3> 1] mana haaraa namaaf kennuu,,,,,,,,
reign,,<h3>Gochima</h3> 1] mootomuu (mootii ta uu) <h3>Cibra</h3> 1] bara mootummaa,,,,,,,,
reigning,,"<h3>Maqibsa</h3> 1] mootomummaa, mootomuu",,,,,,,,
reimburse,,<h3>Gochima</h3> 1] maallaqa nami tokko dhimma tokkoof baase deebisanii kaffaluufii yookiin bakka buusuu,,,,,,,,
rein,,"<h3>Cibra</h3> 1] lookoo, luugama",,,,,,,,
reincarnate,,<h3>Gochima</h3> 1] lubbuu nama du'ee qaama nama kan biroo keessa kaa'uu,,,,,,,,
reincarnation,,<h3>Cibra</h3> 1] lubbuun nama du ee gara qaama haaraa kan biraatti darba amantii jedhu,,,,,,,,
reindeer,,<h3>Cibra</h3> 1] gadamsa guddaa kan gaanfa dhedheeraa qabu (gaanfi isaa dameelee hedduu of irraa qaba),,,,,,,,
reinforce,,"<h3>Gochima</h3> 1] jabeessuu, cimsuu",,,,,,,,
Reinstall (ICT),,"<h3>Gochima</h3> 1] Lamuu Ijaari, (ICT, Jecha Kompiitaraa)",,,,,,,,
reinstate,,<h3>Gochima</h3> 1] nama tokko iddoo dura turetti deebisuu,,,,,,,,
reinterpret,,<h3>Gochima</h3> 1] waan tokko karaa adda/haaraa ta'een hiikuu,,,,,,,,
reintroduce,,"<h3>Gochima</h3> 1] sirnaa fi seera duraan ture deebisuu 2] biqultuu, simbirroo fi bineelda/neefkaa bakka isaan duraan jiraachaa turanitti deebisuu",,,,,,,,
reinvent,,<h3>Gochima</h3> 1] uumuu,,,,,,,,
reiterate,,<h3>Gochima</h3> 1] waan dubbatame irra deddeebi'anii dubbachuu,,,,,,,,
